word,raw_frequency
the,2612
like,1773
a,1270
is,1236
one,969
and,790
of,619
yeah,566
to,534
it,532
number,527
looks,511
that,481
with,481
right,454
on,421
left,384
head,382
then,345
its,311
you,311
i,303
but,299
no,252
two,252
so,251
okay,246
out,242
it's,235
in,225
little,220
their,220
kind,218
not,215
are,214
triangle,213
square,212
facing,211
up,210
has,205
person,195
arms,193
just,191
see,181
diamond,179
this,179
sitting,176
top,152
his,151
legs,149
body,145
yes,142
down,141
that's,138
ok,136
there's,129
foot,126
they're,124
at,123
leg,122
know,121
have,120
or,120
side,119
back,117
bottom,107
three,107
seven,106
guy,105
kneeling,105
think,103
they,100
do,98
I,98
four,96
hat,96
looking,96
he's,94
other,94
eight,92
feet,92
straight,92
we,92
nine,91
kinda,89
arm,87
look,86
oh,86
six,85
ten,85
what,80
eleven,79
he,79
kicking,78
almost,76
there,74
yea,74
be,72
if,72
next,72
where,72
five,67
for,67
hand,67
bit,66
bent,64
got,63
knees,63
xxx,63
hands,62
pointing,61
them,60
an,59
standing,58
thats,57
really,56
as,55
don't,55
ground,55
twelve,55
bunny,54
someone,54
thing,54
arrow,52
both,52
can,52
um,52
ears,50
house,50
sticking,49
also,48
more,46
only,46
weird,46
going,45
triangles,45
praying,44
first,43
Okay,43
goes,42
towards,41
me,40
rectangle,40
theyre,40
was,40
alright,39
figure,39
from,39
maybe,39
holding,38
shape,38
something,38
"um,",38
mean,37
,36
all,36
could,35
dont,35
another,34
any,34
guess,34
off,34
pointed,34
part,33
sorry,33
well,33
doing,32
line,32
second,32
very,32
wait,32
box,31
how,31
about,30
behind,30
blob,30
her,30
big,29
dude,29
describe,28
my,28
way,28
again,27
man,27
ones,27
sort,27
same,26
similar,26
theres,26
tilted,26
who,26
would,26
does,25
last,25
middle,25
now,25
running,25
torso,25
uh,25
front,24
wearing,24
forward,23
good,23
let's,23
diagonal,22
doesn't,22
exactly,22
gonna,22
one's,22
pointy,22
time,22
said,21
go,20
im,20
leaning,20
Number,20
point,20
say,20
angle,19
because,19
sides,19
talking,19
tell,19
12,18
And,18
book,18
heads,18
people,18
third,18
which,18
"yeah,",18
you're,18
2,17
5,17
before,17
call,17
coming,17
degree,17
dress,17
great,17
hes,17
ice,17
into,17
lot,17
neck,17
tail,17
tiny,17
wall,17
we're,17
were,17
11,16
against,16
been,16
corner,16
i'm,16
"like,",16
rabbit,16
seems,16
slightly,16
slouching,16
triangular,16
used,16
without,16
your,16
10,15
8,15
actually,15
backwards,15
butt,15
cut,15
extended,15
fully,15
perfect,15
pose,15
reading,15
skater,15
small,15
sure,15
than,15
The,15
when,15
whole,15
air,14
bending,14
flat,14
hard,14
hexagon,14
jagged,14
kick,14
knee,14
mountain,14
probably,14
toward,14
7,13
can't,13
cant,13
cool,13
either,13
fourth,13
girl,13
had,13
half,13
imagine,13
sense,13
shapes,13
upwards,13
yep,13
1,12
bird,12
dancing,12
fifth,12
heel,12
him,12
hunchback,12
lets,12
mhm,12
ninety,12
"okay,",12
over,12
position,12
somebody,12
want,12
who's,12
6,11
9,11
balancing,11
direction,11
falling,11
I'm,11
kicked,11
make,11
makes,11
much,11
shaped,11
should,11
skating,11
some,11
stretched,11
structure,11
those,11
traingle,11
waving,11
attached,10
baby,10
directly,10
easy,10
feel,10
gap,10
here,10
instead,10
"left,",10
limbs,10
No,10
parallelogram,10
put,10
"right,",10
slide,10
these,10
umm,10
underneath,10
upper,10
walking,10
am,9
anything,9
arrowhead,9
cause,9
character,9
dance,9
dog,9
"is,",9
lower,9
opposite,9
outwards,9
pretty,9
shoe,9
shoulder,9
squares,9
squatting,9
state,9
straw,9
tie,9
we'll,9
we've,9
yoga,9
--,8
3,8
bean,8
below,8
by,8
chest,8
cliff,8
connected,8
Cool,8
correct,8
degrees,8
done,8
edge,8
even,8
flag,8
giving,8
high,8
left.,8
plate,8
raised,8
raising,8
seal,8
shoulders,8
sixth,8
slit,8
sweet,8
tenth,8
"the,",8
they've,8
though,8
trapazoid,8
type,8
"uh,",8
upward,8
X,8
Yea,8
Yeah,8
4,7
base,7
basically,7
bow,7
candle,7
chunk,7
crossed,7
cuts,7
did,7
eliminate,7
else,7
except,7
explain,7
floor,7
Hmm.,7
It,7
lady,7
long,7
looked,7
missing,7
Mm,7
most,7
profile,7
ready,7
remember,7
rhombus,7
right.,7
robe,7
screen,7
seventh,7
