student_name,card_id,time_start,content
alberro,P,1502.914,number one is seven man
alberro,E,1506.626,number two is bunny
alberro,H,1509.547,three is stop sign butt
alberro,F,1512.458,number four is mopey
alberro,K,1515.468,five is sitting down plateholder
alberro,J,1519.474,six is north dakota
alberro,N,1522.257,number seven is praying man
alberro,G,1525.744,number eight is lunger
alberro,M,1529.021,number nine is waving blob
alberro,C,1532.363,number ten is ymca
alberro,I,1535.419,number 11 is chas michaels michaels
alberro,A,1540.842,number 12 is plague doctor
baker,P,2038.566,facing us with his he's on his left leg with his right leg up in the back
baker,E,2049.331,next one has the bow on the head
baker,H,2057.383,next one looks like the front car seat
baker,F,2072.094,kneeling against the wall with the knees up
baker,K,2083.765,the next one has no back
baker,K,2088.868,kneeling
baker,K,2090.145,to the right
baker,J,2096.178,the next one hasthe square back
baker,N,2107.073,the next  one has no neck
baker,N,2119.009,hurry
baker,G,2125.399,the next one is the flag
baker,M,2134.052,next one is right arm up
baker,C,2145.881,the next one is the plunging backwards wingspan guy
baker,I,2154.658,next one is the ice skater with the right leg up in the back and both arms forward facing to the left
baker,A,2164.8,last one is balancing on his left foot with the right foot with his left foot up with the rounded back
bakircioglu,H,2568.397,the tomb is number three
bakircioglu,P,2572.695,number one is number one
bakircioglu,I,2580.37,ballerina is number eleven
bakircioglu,N,2584.84,the upward arrow is number seven
bakircioglu,G,2591.758,the guy with the big thing under him is number eight
bakircioglu,M,2598.965,the guy pointing up and left
bakircioglu,M,2601.717,with no legs is number nine
bakircioglu,C,2605.948,the guy with both hands in the air with no legs is number ten
bakircioglu,A,2611.72,the guy kicking to the left is number twelve
bakircioglu,J,2616.399,the fat guy pointing right is number six
bakircioglu,E,2624.749,the bunny ears is number two
bakircioglu,F,2630.16,ok four is the guy sitting facing left with the bent knee
bakircioglu,outside of card segment,2638.567,yeah
bakircioglu,K,2639.325,and like the guy on the scooter is number five
fastova,P,1892.022,so the first one is the guy running
fastova,E,1904.103,number two is the guy with two triangles
fastova,E,1908.631,mhm
fastova,H,1910.621,number three is the guy kneeling with no limbs
fastova,F,1917.286,number four is the guy slouching towards the left or like leaning against a wall whatever
fastova,K,1924.924,okay number five is the person praying towards the right with the hump and the feet pointed up
fastova,J,1935.386,number six is square with a wave guy
fastova,N,1940.774,um number seven is the guy praying but he has a hat
fastova,N,1949.291,yes
fastova,G,1951.679,number eight is the guy lunching with the small sliver but the gap between his legs
fastova,M,1957.876,number nine is the guy waving with no limbs
fastova,C,1964.482,number ten is the flying person
fastova,I,1969.06,number eleven is the arabesque
fastova,A,1972.655,number twelve is the trapezoid square
fastova,outside of card segment,1983.92,mhm
fastova,outside of card segment,1995.092,okay perfect
fernandez,P,2526.075,Okay cool number one is the person who's body looks like a number one they've one arm up and one arm down
fernandez,E,2534.948,Two is the playboy bunny
fernandez,H,2539.841,Number three is the fat jalapeno butt plug
fernandez,F,2545.545,Number four depressed person at the bottom of a tree
fernandez,K,2550.532,Number five the handmaiden
fernandez,K,2553.384,Facing the right
fernandez,J,2555.968,Number six broken perfume bottle
fernandez,N,2561.022,Number seven is house head no hands out to the right
fernandez,G,2567.384,Number eight lunge with the thick back leg
fernandez,M,2571.653,Number nine upside down nuke
fernandez,C,2575.599,Number ten falling backwards off a building
fernandez,I,2580.438,Eleven ice skater
fernandez,A,2584.572,Number twelve Grim Reaper at the beach
foxx,P,2012.752,"alright, one is big shoulders"
foxx,E,2021.524,rabbit
foxx,H,2025.345,slug
foxx,F,2029.008,turtle
foxx,K,2036.428,"lightning bolt with the triangle a$$, buttocks"
foxx,J,2042.251,missouri
foxx,N,2047.023,"uh, oklahoma"
foxx,G,2052.016,kung fu
foxx,M,2058.554,eve
foxx,C,2062.453,celebration
foxx,I,2066.948,figure skater
foxx,A,2071.54,two heads
foxx,outside of card segment,2075.033,okay
galhardo,E,1893.609,two
galhardo,M,1900.059,nine
galhardo,H,1907.26,i wanna say not oh three
galhardo,F,1918.906,four
galhardo,G,1924.471,eight
galhardo,J,1933.609,six
galhardo,I,1944.651,eleven
galhardo,C,1946.891,and then shrug emoji is ten
galhardo,P,1957.221,one
galhardo,outside of card segment,1967.669,thats not used
galhardo,outside of card segment,1975.919,also not used
galhardo,outside of card segment,1981.946,the arrowhead that is sitting down is not used
galhardo,N,1985.056,the praying arrowhead is seven
galhardo,outside of card segment,1988.369,cool
galhardo,A,2000.699,twelve
galhardo,K,2008.116,number five is the
galhardo,K,2009.431,extremely not describable
galhardo,K,2011.755,baby shark ass type of thing
galhardo,outside of card segment,2016.409,sweet
haile,P,1913.289,okay one is seven
haile,E,1917.091,two is the samurai
haile,H,1921.475,three is the one that i couldn't do
haile,F,1928.37,four is the one leaning on the wall with the feet out left
haile,K,1934.052,five is the prayer hands to the right with the feet behind them
haile,J,1940.5,six is minnesota
haile,N,1944.903,seven is prayer hands out to the right
haile,N,1948.61,with the monopoly head
haile,G,1951.604,eight is the one out of the two that you said was crazy
haile,M,1956.521,nine is the referee
haile,C,1961.367,ten is the diving goalie
haile,I,1965.114,eleven is the yoga pose
haile,A,1969.173,twelve is the split head
haile,A,1971.077,tryna kick a ball
