condition,trial_number,placer,median.td,sd.td,min.td,max.td
Friends,1,Matcher,1.266571429,1.700506113,-1.4222,5.5893
Friends,1,Overhearer,-1.164,4.0576868,-7.334428571,8.748833333
Friends,3,Matcher,0.7007,1.625311418,-0.821272727,4.536166667
Friends,3,Overhearer,0.2826,3.990316207,-12.7895,4.570142857
Friends,6,Matcher,1.072875,0.998034677,-0.248083333,3.934583333
Friends,6,Overhearer,1.5687,3.690003016,-12.18775,3.739888889
Strangers,1,Matcher,1,1.717428921,-2.685166667,2.942111111
Strangers,1,Overhearer,0.437714286,6.774993224,-10.143,16.51
Strangers,3,Matcher,0.298,1.456777966,-2.319,2.017090909
Strangers,3,Overhearer,1.6044,3.9251014,-3.409555556,10.145
Strangers,6,Matcher,1.020666667,1.373917127,0.019545455,4.331625
Strangers,6,Overhearer,2.632819444,4.289204692,-0.662636364,15.3228
